tex_file,line,number,context,status,hit_files,human_confirmed
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,52,65,"Across these groups, the counterfactual gap remained between 0.0004 and 0.0007, meaning that removing the scar changed the model's predictions very little. The ",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\analysis\thesis_models_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,54,0.85,"Results for the biased ($\rho = 0.85$) and inverted ($\rho = 0.15$) regimes, for privileged mode, and for the remaining seeds will be reported in the final vers",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,54,0.15,"Results for the biased ($\rho = 0.85$) and inverted ($\rho = 0.15$) regimes, for privileged mode, and for the remaining seeds will be reported in the final vers",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,61,30,A sanity-check protocol was implemented (\texttt{src/evaluation/sham\_edit\_probe.py}) that applies a $30 \times 30$-pixel non-semantic perturbation at a fixed ,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,61,30,A sanity-check protocol was implemented (\texttt{src/evaluation/sham\_edit\_probe.py}) that applies a $30 \times 30$-pixel non-semantic perturbation at a fixed ,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,67,64,"Latency was measured on an x86-64 CPU after 50 warm-up iterations, over 1,000 iterations:",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,67,50,"Latency was measured on an x86-64 CPU after 50 warm-up iterations, over 1,000 iterations:",FOUND,outputs\interim_secured_metrics.csv;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,67,"1,000","Latency was measured on an x86-64 CPU after 50 warm-up iterations, over 1,000 iterations:",FOUND,outputs\analysis\dataset_analysis_report.json;outputs\analysis\thesis_final_comprehensive_report.json;outputs\results\edge_counterfactual_cgf_js_mobilenet_v3_small_pruned30_repaired_fp32.json;outputs\source_audits\source_audit_adult_curation_pool.csv;outputs\source_audits\source_audit_dryrun_20260921.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,74,0.90,Mean latency & 0.90 ms/frame \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,75,95,95th-percentile latency & 1.30 ms/frame \\,FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\estimator_per_clip_results.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,75,1.30,95th-percentile latency & 1.30 ms/frame \\,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,76,1112.7,Throughput & 1112.7 frames/s \\,FOUND,outputs\leakage_run\estimator_comparison_full_output.txt;docs\FULL_THESIS_PAPER.md;docs\negative_result_writeup_legacy.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,77,30,Real-time budget (30 frames/s) & 33.3 ms/frame \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,77,33.3,Real-time budget (30 frames/s) & 33.3 ms/frame \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\analysis\thesis_final_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,78,37.0,Margin relative to budget & 37.0$\times$ \\,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,81,64,\caption{Inference latency of the compiled EQUITAS-RCMF model on an x86-64 CPU.},FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,93,59.72,\item \textbf{Modality collapse.} The subgroup accuracies of EQUITAS-RCMF (59.72--64.29\%) are below the accuracy of the camera-off physiology-only model (appro,FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,93,64.29,\item \textbf{Modality collapse.} The subgroup accuracies of EQUITAS-RCMF (59.72--64.29\%) are below the accuracy of the camera-off physiology-only model (appro,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_4.tex,93,72.15,\item \textbf{Modality collapse.} The subgroup accuracies of EQUITAS-RCMF (59.72--64.29\%) are below the accuracy of the camera-off physiology-only model (appro,FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,5,2.9,"Processing data on the device that captures it avoids transmitting raw biometric data to external servers, which reduces privacy risk and simplifies compliance ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,5,66,"Processing data on the device that captures it avoids transmitting raw biometric data to external servers, which reduces privacy risk and simplifies compliance ",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\leakage_run\estimator_comparison_full_output.txt,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,5,16,"Processing data on the device that captures it avoids transmitting raw biometric data to external servers, which reduces privacy risk and simplifies compliance ",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,5,86,"Processing data on the device that captures it avoids transmitting raw biometric data to external servers, which reduces privacy risk and simplifies compliance ",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,5,17.5,"Processing data on the device that captures it avoids transmitting raw biometric data to external servers, which reduces privacy risk and simplifies compliance ",FOUND,outputs\k1_baseline_rigorous.txt;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_5.tex,26,22,"\item \textbf{Article 22} restricts decisions based solely on automated processing, including profiling, that produce legal or similarly significant effects. A ",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,4,0.0314,"\item \textbf{Physiological information in facial video.} A pre-registered test found recoverable physiological information in the UBFC-Phys facial video (POS, ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,4,0.0001,"\item \textbf{Physiological information in facial video.} A pre-registered test found recoverable physiological information in the UBFC-Phys facial video (POS, ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,4,0.0103,"\item \textbf{Physiological information in facial video.} A pre-registered test found recoverable physiological information in the UBFC-Phys facial video (POS, ",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,5,1.7149,\item \textbf{Orthogonal subspace decomposition.} Visual features were projected onto orthogonal causal and confounder subspaces by a thin QR projection applied,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,6,42,"\item \textbf{Counterfactual invariance.} In the demographic audit of the seed-42 model, removing the scar changed predictions very little, with a counterfactua",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,6,0.0004,"\item \textbf{Counterfactual invariance.} In the demographic audit of the seed-42 model, removing the scar changed predictions very little, with a counterfactua",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,6,0.0007,"\item \textbf{Counterfactual invariance.} In the demographic audit of the seed-42 model, removing the scar changed predictions very little, with a counterfactua",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,7,0.0019,\item \textbf{Penalty alone is insufficient.} A model trained with a counterfactual penalty but without the subspace decomposition reduced the counterfactual ga,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,7,50.20,\item \textbf{Penalty alone is insufficient.} A model trained with a counterfactual penalty but without the subspace decomposition reduced the counterfactual ga,FOUND,outputs\interim_secured_metrics.csv;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,8,0.90,\item \textbf{Deployment.} The compiled model does not require the scar mask and runs at 0.90~ms per frame (1112.7 frames per second) on an x86-64 CPU.,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,8,1112.7,\item \textbf{Deployment.} The compiled model does not require the scar mask and runs at 0.90~ms per frame (1112.7 frames per second) on an x86-64 CPU.,FOUND,outputs\leakage_run\estimator_comparison_full_output.txt;docs\FULL_THESIS_PAPER.md;docs\negative_result_writeup_legacy.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,8,64,\item \textbf{Deployment.} The compiled model does not require the scar mask and runs at 0.90~ms per frame (1112.7 frames per second) on an x86-64 CPU.,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,13,"2,344","The eight-participant cohort is a demanding setting for shortcut learning, because a network with over a million parameters, trained on 2,344 windows from a han",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,13,56,"The eight-participant cohort is a demanding setting for shortcut learning, because a network with over a million parameters, trained on 2,344 windows from a han",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,16,59.7,"Subgroup accuracies ranged from about 59.7\% to 64.3\%, while the counterfactual gap stayed below 0.001. The low counterfactual gap is the main result, but it m",FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,16,64.3,"Subgroup accuracies ranged from about 59.7\% to 64.3\%, while the counterfactual gap stayed below 0.001. The low counterfactual gap is the main result, but it m",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,16,0.001,"Subgroup accuracies ranged from about 59.7\% to 64.3\%, while the counterfactual gap stayed below 0.001. The low counterfactual gap is the main result, but it m",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,16,72.15,"Subgroup accuracies ranged from about 59.7\% to 64.3\%, while the counterfactual gap stayed below 0.001. The low counterfactual gap is the main result, but it m",FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,35,80,The subspace decomposition does not depend on a particular backbone. Vision Mamba replaces self-attention with a bidirectional state-space model whose cost grow,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,35,1.0,The subspace decomposition does not depend on a particular backbone. Vision Mamba replaces self-attention with a bidirectional state-space model whose cost grow,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_6.tex,35,12,The subspace decomposition does not depend on a particular backbone. Vision Mamba replaces self-attention with a bidirectional state-space model whose cost grow,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,0.0314,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,0.0001,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,0.0103,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,0.0006,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,0.90,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,1112.7,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\leakage_run\estimator_comparison_full_output.txt;docs\FULL_THESIS_PAPER.md;docs\negative_result_writeup_legacy.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,64,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,4,30,Experiments use a pre-registered pilot cohort of eight participants from the UBFC-Phys social-stress dataset with a synthetic brow-line scar. A pre-registered t,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\abstract.tex,6,0.75,\vspace{0.75cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,8,21201617,\item M. Iftida Mushfiq Arnab (21201617),NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,9,22301618,\item Cynthia Safa (22301618),NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,10,22101559,\item Shahadat Hossain (22101559),NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,18,0.5,\vspace{0.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,26,0.5,\vspace{0.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\approval.tex,28,0.3,\vspace{0.3cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,7,14,{\fontsize{14pt}{18pt}\selectfont Final Thesis Report},FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\analysis\thesis_final_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,7,18,{\fontsize{14pt}{18pt}\selectfont Final Thesis Report},FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,11,16,{\fontsize{16pt}{22pt}\selectfont,FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,11,22,{\fontsize{16pt}{22pt}\selectfont,FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
